Crop_ID,Scientific_Name,Common_Name,Local_Name,Crop_Category,Indian_State,Agro_Climate_Zone,Optimal_Temperature_Min,Optimal_Temperature_Max,Optimal_Soil_Moisture_Min,Optimal_Soil_Moisture_Max,Temperature_C,Humidity_Percent,Soil_Moisture_Percent,Light_Intensity_Lux,Rainfall_mm,Weather_API_Temperature,Weather_API_Humidity,Weather_API_Rainfall,Stress_Level,Stress_Type
C0061,Saccharum officinarum,Sugarcane,Ganna,Cash Crop,Uttar Pradesh,Indian Agro-climate Zone,20,35,65,85,46.65,61.99,11.62,458.24,114.78,48.57,61.91,111.36,2,Drought Stress
C0062,Camellia sinensis,Tea,Cha,Cash Crop,Assam,Indian Agro-climate Zone,18,30,70,90,18.28,59.91,48.41,784.77,100.08,19.07,56.71,104.01,1,Moderate Drought
C0063,Coffea arabica,Coffee,Coffee,Cash Crop,Karnataka,Indian Agro-climate Zone,18,28,60,85,30.49,69.13,60.76,423.85,205.45,29.87,67.6,196.08,1,Heat Stress
C0064,Corchorus capsularis,Jute,Pat,Cash Crop,West Bengal,Indian Agro-climate Zone,24,35,60,85,30.22,53.68,52.8,703.42,172.6,28.38,56.67,175.16,1,Heat Stress
C0065,Hevea brasiliensis,Rubber,Rubber,Cash Crop,Kerala,Indian Agro-climate Zone,25,35,70,90,33.74,33.97,88.42,476.88,201.55,34.73,30.82,195.74,0,Normal
C0066,Withania somnifera,Ashwagandha,Ashwagandha,Medicinal Crop,Rajasthan,Indian Agro-climate Zone,20,35,30,60,27.11,64.53,39.0,920.52,15.59,25.7,60.86,19.33,1,Light Stress
C0067,Ocimum tenuiflorum,Tulsi,Tulsi,Medicinal Crop,Uttar Pradesh,Indian Agro-climate Zone,20,35,40,70,45.25,59.08,5.61,732.62,60.62,44.32,57.85,51.02,2,Heat Stress
C0068,Aloe barbadensis,Aloe Vera,Gwarpatha,Medicinal Crop,Rajasthan,Indian Agro-climate Zone,20,35,30,60,23.17,37.78,39.82,1090.53,148.4,23.89,40.68,148.37,0,Normal
C0069,Glycine max,Soybean,Soybean,Food Crop,Madhya Pradesh,Indian Agro-climate Zone,20,30,50,80,25.37,78.45,67.61,631.66,31.9,24.51,77.08,34.81,0,Normal
C0070,Arachis hypogaea,Groundnut,Moongfali,Food Crop,Gujarat,Indian Agro-climate Zone,25,35,40,70,27.12,90.69,69.26,207.53,56.33,26.58,90.57,63.35,1,Moderate Drought
C0071,Brassica juncea,Mustard,Sarson,Cash Crop,Rajasthan,Indian Agro-climate Zone,10,25,35,60,22.09,84.75,36.39,251.64,4.56,22.88,89.72,12.49,0,Normal
C0072,Cucumis sativus,Cucumber,Kheera,Horticulture Crop,Karnataka,Indian Agro-climate Zone,20,30,60,80,33.35,46.76,35.24,370.89,167.16,35.07,47.33,168.59,1,Heat Stress
C0073,Capsicum annuum,Chilli,Mirch,Horticulture Crop,Andhra Pradesh,Indian Agro-climate Zone,20,32,50,75,29.23,51.04,54.68,625.44,126.9,28.2,47.19,129.11,0,Normal
C0074,Abelmoschus esculentus,Okra,Bhindi,Horticulture Crop,Gujarat,Indian Agro-climate Zone,22,35,50,75,29.56,61.27,53.86,732.59,12.96,28.9,57.62,4.22,0,Normal
C0075,Oryza sativa,Rice,Dhan,Food Crop,West Bengal,Indian Agro-climate Zone,24,35,60,90,42.26,39.02,37.39,202.71,29.17,42.15,40.08,35.06,2,Drought Stress
C0076,Triticum aestivum,Wheat,Gehu,Food Crop,Punjab,Indian Agro-climate Zone,15,30,40,70,27.76,56.55,62.38,1132.94,247.73,26.58,55.35,256.26,0,Normal
C0077,Zea mays,Maize,Makka,Food Crop,Karnataka,Indian Agro-climate Zone,18,32,50,80,37.34,81.69,28.45,401.63,40.91,35.99,84.84,44.22,2,Water Stress
C0078,Pennisetum glaucum,Pearl Millet,Bajra,Food Crop,Rajasthan,Indian Agro-climate Zone,25,35,30,60,27.18,74.39,53.25,651.95,178.45,28.78,75.63,179.24,1,Moderate Drought
C0079,Cicer arietinum,Chickpea,Chana,Food Crop,Madhya Pradesh,Indian Agro-climate Zone,18,30,35,60,25.7,54.95,27.77,743.55,226.62,26.2,51.12,235.41,1,Light Stress
C0080,Solanum lycopersicum,Tomato,Tamatar,Horticulture Crop,Maharashtra,Indian Agro-climate Zone,20,30,50,80,21.7,87.11,32.66,695.42,185.37,21.99,92.09,190.41,1,Light Stress
C0081,Solanum tuberosum,Potato,Aloo,Food Crop,West Bengal,Indian Agro-climate Zone,15,25,60,80,35.45,76.41,10.73,693.98,188.66,33.86,76.78,186.24,2,Heat Stress
C0082,Allium cepa,Onion,Pyaz,Horticulture Crop,Maharashtra,Indian Agro-climate Zone,13,25,45,70,21.29,61.61,45.11,608.96,192.97,19.34,62.6,194.28,1,Moderate Drought
C0083,Mangifera indica,Mango,Aam,Horticulture Crop,Uttar Pradesh,Indian Agro-climate Zone,24,35,40,70,44.19,89.05,21.54,783.39,100.21,44.04,93.52,93.28,2,Heat Stress
C0084,Musa acuminata,Banana,Kela,Horticulture Crop,Kerala,Indian Agro-climate Zone,25,35,70,90,30.12,77.2,72.52,792.96,25.55,31.79,80.1,16.01,1,Light Stress
C0085,Gossypium hirsutum,Cotton,Kapas,Cash Crop,Maharashtra,Indian Agro-climate Zone,21,35,40,70,34.51,57.57,35.59,936.44,233.59,36.21,57.08,225.86,1,Moderate Drought
C0086,Saccharum officinarum,Sugarcane,Ganna,Cash Crop,Uttar Pradesh,Indian Agro-climate Zone,20,35,65,85,45.87,51.59,10.61,511.44,56.85,46.3,50.38,61.73,2,Drought Stress
C0087,Camellia sinensis,Tea,Cha,Cash Crop,Assam,Indian Agro-climate Zone,18,30,70,90,27.45,37.43,82.07,614.5,215.88,29.15,37.08,215.5,0,Normal
C0088,Coffea arabica,Coffee,Coffee,Cash Crop,Karnataka,Indian Agro-climate Zone,18,28,60,85,37.11,39.16,6.31,376.39,124.59,36.79,43.3,121.84,2,Water Stress
C0089,Corchorus capsularis,Jute,Pat,Cash Crop,West Bengal,Indian Agro-climate Zone,24,35,60,85,32.28,63.49,35.65,1175.54,114.75,32.51,67.09,115.45,1,Moderate Drought
C0090,Hevea brasiliensis,Rubber,Rubber,Cash Crop,Kerala,Indian Agro-climate Zone,25,35,70,90,28.0,55.83,76.2,626.79,199.95,27.39,55.51,202.45,0,Normal
C0091,Withania somnifera,Ashwagandha,Ashwagandha,Medicinal Crop,Rajasthan,Indian Agro-climate Zone,20,35,30,60,35.91,80.41,37.31,653.29,131.1,35.68,79.42,132.29,1,Moderate Drought
C0092,Ocimum tenuiflorum,Tulsi,Tulsi,Medicinal Crop,Uttar Pradesh,Indian Agro-climate Zone,20,35,40,70,22.73,91.5,65.85,573.31,67.69,23.3,90.58,58.19,0,Normal
C0093,Aloe barbadensis,Aloe Vera,Gwarpatha,Medicinal Crop,Rajasthan,Indian Agro-climate Zone,20,35,30,60,30.74,31.76,49.77,421.97,57.77,31.43,26.96,49.85,0,Normal
C0094,Glycine max,Soybean,Soybean,Food Crop,Madhya Pradesh,Indian Agro-climate Zone,20,30,50,80,36.25,76.85,24.58,1005.31,247.18,36.66,79.92,256.44,2,Water Stress
C0095,Arachis hypogaea,Groundnut,Moongfali,Food Crop,Gujarat,Indian Agro-climate Zone,25,35,40,70,40.99,88.26,13.13,213.0,21.38,39.82,83.53,15.01,2,Water Stress
C0096,Brassica juncea,Mustard,Sarson,Cash Crop,Rajasthan,Indian Agro-climate Zone,10,25,35,60,15.54,70.61,54.63,535.87,206.28,14.99,65.95,212.89,1,Light Stress
C0097,Cucumis sativus,Cucumber,Kheera,Horticulture Crop,Karnataka,Indian Agro-climate Zone,20,30,60,80,30.48,49.14,51.32,1148.45,190.9,29.04,52.82,190.65,1,Moderate Drought
C0098,Capsicum annuum,Chilli,Mirch,Horticulture Crop,Andhra Pradesh,Indian Agro-climate Zone,20,32,50,75,42.6,63.31,17.76,941.69,174.71,42.21,60.49,177.61,2,Water Stress
C0099,Abelmoschus esculentus,Okra,Bhindi,Horticulture Crop,Gujarat,Indian Agro-climate Zone,22,35,50,75,20.04,47.7,70.03,218.39,228.57,18.51,48.47,224.06,1,Heat Stress
C0100,Oryza sativa,Rice,Dhan,Food Crop,West Bengal,Indian Agro-climate Zone,24,35,60,90,32.68,36.93,80.64,340.02,65.92,31.75,39.25,60.94,1,Light Stress
C0101,Triticum aestivum,Wheat,Gehu,Food Crop,Punjab,Indian Agro-climate Zone,15,30,40,70,22.36,57.22,46.53,583.14,129.73,20.54,53.88,134.49,1,Moderate Drought
C0102,Zea mays,Maize,Makka,Food Crop,Karnataka,Indian Agro-climate Zone,18,32,50,80,26.44,55.3,57.36,488.69,88.92,27.32,53.28,90.25,0,Normal
C0103,Pennisetum glaucum,Pearl Millet,Bajra,Food Crop,Rajasthan,Indian Agro-climate Zone,25,35,30,60,33.27,61.44,56.53,469.91,134.96,31.92,64.86,141.89,1,Moderate Drought
C0104,Cicer arietinum,Chickpea,Chana,Food Crop,Madhya Pradesh,Indian Agro-climate Zone,18,30,35,60,36.08,36.93,14.35,275.14,182.05,36.06,38.81,180.74,2,Heat Stress
C0105,Solanum lycopersicum,Tomato,Tamatar,Horticulture Crop,Maharashtra,Indian Agro-climate Zone,20,30,50,80,28.19,75.16,73.98,472.15,147.56,27.63,71.07,155.9,0,Normal
C0106,Solanum tuberosum,Potato,Aloo,Food Crop,West Bengal,Indian Agro-climate Zone,15,25,60,80,24.5,42.03,68.92,741.9,218.24,25.43,45.1,221.41,0,Normal
C0107,Allium cepa,Onion,Pyaz,Horticulture Crop,Maharashtra,Indian Agro-climate Zone,13,25,45,70,35.94,72.03,11.24,893.18,12.9,36.62,67.47,14.66,2,Drought Stress
C0108,Mangifera indica,Mango,Aam,Horticulture Crop,Uttar Pradesh,Indian Agro-climate Zone,24,35,40,70,43.89,32.21,14.46,897.42,74.34,45.59,36.92,83.22,2,Water Stress
C0109,Musa acuminata,Banana,Kela,Horticulture Crop,Kerala,Indian Agro-climate Zone,25,35,70,90,37.24,63.96,83.0,844.55,162.54,36.7,64.57,162.16,1,Heat Stress
C0110,Gossypium hirsutum,Cotton,Kapas,Cash Crop,Maharashtra,Indian Agro-climate Zone,21,35,40,70,43.71,34.25,13.82,515.29,134.87,44.87,32.44,137.39,2,Water Stress
C0111,Saccharum officinarum,Sugarcane,Ganna,Cash Crop,Uttar Pradesh,Indian Agro-climate Zone,20,35,65,85,44.31,60.03,15.48,1190.34,0.06,43.05,58.87,8.71,2,Water Stress
C0112,Camellia sinensis,Tea,Cha,Cash Crop,Assam,Indian Agro-climate Zone,18,30,70,90,18.11,35.76,71.05,237.6,119.95,18.44,33.47,117.91,0,Normal
C0113,Coffea arabica,Coffee,Coffee,Cash Crop,Karnataka,Indian Agro-climate Zone,18,28,60,85,21.36,77.6,73.06,203.35,116.83,20.55,81.13,121.14,0,Normal
C0114,Corchorus capsularis,Jute,Pat,Cash Crop,West Bengal,Indian Agro-climate Zone,24,35,60,85,24.82,57.81,80.52,584.33,169.91,23.7,62.3,175.64,1,Light Stress
C0115,Hevea brasiliensis,Rubber,Rubber,Cash Crop,Kerala,Indian Agro-climate Zone,25,35,70,90,29.18,91.41,87.58,667.4,153.35,27.84,96.32,147.99,0,Normal
C0116,Withania somnifera,Ashwagandha,Ashwagandha,Medicinal Crop,Rajasthan,Indian Agro-climate Zone,20,35,30,60,44.55,37.82,11.08,246.95,96.02,42.69,42.39,102.55,2,Drought Stress
C0117,Ocimum tenuiflorum,Tulsi,Tulsi,Medicinal Crop,Uttar Pradesh,Indian Agro-climate Zone,20,35,40,70,44.41,90.3,9.33,1194.91,43.47,43.99,92.89,47.39,2,Drought Stress
C0118,Aloe barbadensis,Aloe Vera,Gwarpatha,Medicinal Crop,Rajasthan,Indian Agro-climate Zone,20,35,30,60,32.24,44.55,36.73,736.97,148.23,32.56,40.46,155.78,0,Normal
C0119,Glycine max,Soybean,Soybean,Food Crop,Madhya Pradesh,Indian Agro-climate Zone,20,30,50,80,21.3,92.12,76.66,1062.13,202.38,21.92,92.63,194.12,0,Normal
C0120,Arachis hypogaea,Groundnut,Moongfali,Food Crop,Gujarat,Indian Agro-climate Zone,25,35,40,70,27.45,33.17,29.29,732.6,240.53,25.89,37.12,250.36,1,Moderate Drought
C0121,Brassica juncea,Mustard,Sarson,Cash Crop,Rajasthan,Indian Agro-climate Zone,10,25,35,60,23.24,88.92,47.9,771.32,165.53,23.42,92.57,170.21,0,Normal
C0122,Cucumis sativus,Cucumber,Kheera,Horticulture Crop,Karnataka,Indian Agro-climate Zone,20,30,60,80,32.36,86.37,46.04,908.36,209.25,33.15,88.18,211.63,1,Light Stress
C0123,Capsicum annuum,Chilli,Mirch,Horticulture Crop,Andhra Pradesh,Indian Agro-climate Zone,20,32,50,75,38.11,60.26,31.43,1079.07,1.29,39.39,57.54,9.46,2,Heat Stress
C0124,Abelmoschus esculentus,Okra,Bhindi,Horticulture Crop,Gujarat,Indian Agro-climate Zone,22,35,50,75,29.23,46.81,68.92,393.13,21.02,28.54,47.41,13.34,0,Normal
C0125,Oryza sativa,Rice,Dhan,Food Crop,West Bengal,Indian Agro-climate Zone,24,35,60,90,19.19,48.42,80.03,218.43,108.06,20.55,47.34,101.65,1,Heat Stress
C0126,Triticum aestivum,Wheat,Gehu,Food Crop,Punjab,Indian Agro-climate Zone,15,30,40,70,40.52,91.57,8.48,366.38,192.75,41.36,91.31,183.9,2,Heat Stress
C0127,Zea mays,Maize,Makka,Food Crop,Karnataka,Indian Agro-climate Zone,18,32,50,80,29.93,73.94,79.7,645.96,161.89,30.31,72.78,153.21,0,Normal
C0128,Pennisetum glaucum,Pearl Millet,Bajra,Food Crop,Rajasthan,Indian Agro-climate Zone,25,35,30,60,42.6,74.41,13.19,645.9,68.41,44.59,73.68,67.43,2,Water Stress
C0129,Cicer arietinum,Chickpea,Chana,Food Crop,Madhya Pradesh,Indian Agro-climate Zone,18,30,35,60,27.54,44.35,52.34,282.38,170.12,28.16,42.08,179.14,0,Normal
C0130,Solanum lycopersicum,Tomato,Tamatar,Horticulture Crop,Maharashtra,Indian Agro-climate Zone,20,30,50,80,24.32,57.28,78.31,838.53,99.4,23.42,62.12,97.59,0,Normal
C0131,Solanum tuberosum,Potato,Aloo,Food Crop,West Bengal,Indian Agro-climate Zone,15,25,60,80,31.61,72.36,13.52,568.53,216.09,31.5,77.04,209.8,2,Drought Stress
C0132,Allium cepa,Onion,Pyaz,Horticulture Crop,Maharashtra,Indian Agro-climate Zone,13,25,45,70,35.44,64.47,24.27,217.86,199.2,34.61,68.59,208.55,2,Heat Stress
C0133,Mangifera indica,Mango,Aam,Horticulture Crop,Uttar Pradesh,Indian Agro-climate Zone,24,35,40,70,29.08,68.89,40.04,807.31,61.88,29.32,66.15,55.1,0,Normal
C0134,Musa acuminata,Banana,Kela,Horticulture Crop,Kerala,Indian Agro-climate Zone,25,35,70,90,26.52,93.98,71.56,349.58,116.15,27.24,92.94,125.64,1,Light Stress
C0135,Gossypium hirsutum,Cotton,Kapas,Cash Crop,Maharashtra,Indian Agro-climate Zone,21,35,40,70,44.6,89.01,20.14,924.29,187.29,43.18,85.04,188.71,2,Heat Stress
